rank,file,score,score_pct,max_score,hill_score,hill_pct,gradual_score,gradual_pct,wins,losses,ties,total_rounds,win_pct,tie_pct,loss_pct,avg_win_cycles,avg_loss_cycles,avg_tsp,avg_mc,n_opponents
266,imp.red,5599.00,24.53,22824.00,5599.00,24.53,5964.18,20.10,339,2687,4582,7608,4.46,60.23,35.32,2540.4,5192.8,430.23,5865.91,317
267,copykatq2.red,5574.00,24.42,22824.00,5574.00,24.42,6240.35,21.03,487,3008,4113,7608,6.40,54.06,39.54,5055.7,17004.3,9236.24,592.35,317
268,littlescrew.red,5568.00,24.40,22824.00,5568.00,24.40,6265.57,21.12,526,3092,3990,7608,6.91,52.44,40.64,6068.5,16822.9,2011.65,361.15,317
269,scanvampire.red,5542.00,24.28,22824.00,5542.00,24.28,6214.94,20.95,509,3084,4015,7608,6.69,52.77,40.54,7710.7,16796.2,1885.67,570.99,317
270,fastestcoreclear.red,5518.00,24.18,22824.00,5518.00,24.18,5702.84,19.22,59,2208,5341,7608,0.78,70.20,29.02,11512.4,12624.7,1129.85,595.28,317
271,scannerY.red,5460.00,23.92,22824.00,5460.00,23.92,6187.26,20.85,589,3326,3693,7608,7.74,48.54,43.72,9615.0,15686.7,1808.84,571.92,317
272,gemini.red,5371.00,23.53,22824.00,5371.00,23.53,6134.37,20.67,735,3707,3166,7608,9.66,41.61,48.73,5438.0,7922.3,1474.01,776.61,317
273,nonzeroscanner.red,5339.00,23.39,22824.00,5339.00,23.39,6007.20,20.25,488,3245,3875,7608,6.41,50.93,42.65,4489.2,15632.9,1425.32,566.13,317
274,garlic.red,5321.00,23.31,22824.00,5321.00,23.31,5538.63,18.67,103,2493,5012,7608,1.35,65.88,32.77,11508.7,11092.4,1303.00,421.82,317
275,niche.red,5304.00,23.24,22824.00,5304.00,23.24,5945.05,20.04,444,3192,3972,7608,5.84,52.21,41.96,6591.9,17191.3,1926.34,339.33,317
276,quattro.red,5273.00,23.10,22824.00,5273.00,23.10,5879.06,19.81,561,3457,3590,7608,7.37,47.19,45.44,8297.7,8882.0,1468.06,2521.56,317
277,cproba.red,5265.00,23.07,22824.00,5265.00,23.07,5886.53,19.84,446,3235,3927,7608,5.86,51.62,42.52,5818.2,15413.9,2042.25,610.86,317
278,smitewhite.red,5251.00,23.01,22824.00,5251.00,23.01,5497.39,18.53,106,2569,4933,7608,1.39,64.84,33.77,12449.1,12910.6,1372.18,510.66,317
279,ttres.red,5233.00,22.93,22824.00,5233.00,22.93,5919.30,19.95,611,3597,3400,7608,8.03,44.69,47.28,7879.7,10595.8,1542.61,2830.84,317
280,fizzle.red,5118.00,22.42,22824.00,5118.00,22.42,5349.36,18.03,137,2764,4707,7608,1.80,61.87,36.33,6440.7,8537.3,891.71,374.20,317
281,suicidalalien22.red,5110.00,22.39,22824.00,5110.00,22.39,5311.28,17.90,47,2592,4969,7608,0.62,65.31,34.07,10172.8,12682.1,1015.84,313.25,317
282,juggernaut.red,5100.00,22.34,22824.00,5100.00,22.34,5952.55,20.06,845,4198,2565,7608,11.11,33.71,55.18,8515.2,8242.0,1641.20,2168.12,317
283,djustice.red,5081.00,22.26,22824.00,5081.00,22.26,5645.99,19.03,373,3273,3962,7608,4.90,52.08,43.02,5035.6,15302.3,1975.41,615.20,317
284,pleeease.red,5056.00,22.15,22824.00,5056.00,22.15,5261.18,17.73,114,2780,4714,7608,1.50,61.96,36.54,8330.5,8148.7,792.29,362.58,317
285,sargent.red,5049.00,22.12,22824.00,5049.00,22.12,5691.23,19.18,418,3395,3795,7608,5.49,49.88,44.62,4613.3,16950.2,1686.40,587.86,317
286,redrain.red,5027.00,22.03,22824.00,5027.00,22.03,5220.25,17.59,107,2795,4706,7608,1.41,61.86,36.74,6803.9,7523.2,820.25,356.28,317
287,burp.red,5023.00,22.01,22824.00,5023.00,22.01,5178.59,17.45,46,2677,4885,7608,0.60,64.21,35.19,17919.6,9223.6,665.12,533.68,317
288,threader2.red,4950.00,21.69,22824.00,4950.00,21.69,5470.49,18.44,328,3314,3966,7608,4.31,52.13,43.56,10270.2,15883.5,2004.01,2444.80,317
289,eratos.red,4940.00,21.64,22824.00,4940.00,21.64,5122.76,17.27,58,2784,4766,7608,0.76,62.64,36.59,9763.7,9836.8,832.66,347.72,317
290,dime.red,4920.00,21.56,22824.00,4920.00,21.56,5106.56,17.21,60,2808,4740,7608,0.79,62.30,36.91,10482.6,9945.6,1173.78,172.58,317
291,sad.red,4906.00,21.49,22824.00,4906.00,21.49,5566.48,18.76,493,3688,3427,7608,6.48,45.04,48.48,7836.5,14112.8,2201.96,146.89,317
292,gnat.red,4819.00,21.11,22824.00,4819.00,21.11,4967.67,16.74,22,2833,4753,7608,0.29,62.47,37.24,11577.1,9300.3,1016.99,58.59,317
293,shark.red,4791.00,20.99,22824.00,4791.00,20.99,4990.58,16.82,112,3041,4455,7608,1.47,58.56,39.97,7360.4,7106.5,823.83,335.47,317
294,backimp.red,4768.00,20.89,22824.00,4768.00,20.89,5288.77,17.82,374,3588,3646,7608,4.92,47.92,47.16,5567.2,11571.7,1765.85,798.35,317
295,antivamp.red,4754.00,20.83,22824.00,4754.00,20.83,4964.27,16.73,57,2968,4583,7608,0.75,60.24,39.01,16097.8,11407.6,1169.33,330.58,317
296,protondance.red,4754.00,20.83,22824.00,4754.00,20.83,5080.69,17.12,96,3046,4466,7608,1.26,58.70,40.04,8415.9,16374.4,821.73,108.30,317
297,dwarven.red,4683.00,20.52,22824.00,4683.00,20.52,4964.17,16.73,171,3267,4170,7608,2.25,54.81,42.94,7216.2,8641.0,1701.62,325.05,317
298,bombfinder.red,4598.00,20.15,22824.00,4598.00,20.15,4838.93,16.31,151,3312,4145,7608,1.98,54.48,43.53,6539.4,7013.0,1251.83,373.75,317
299,trigger.red,4586.00,20.09,22824.00,4586.00,20.09,5116.75,17.24,347,3716,3545,7608,4.56,46.60,48.84,4783.3,12762.2,1914.24,559.54,317
300,coreclear.red,4574.00,20.04,22824.00,4574.00,20.04,4796.44,16.17,68,3170,4370,7608,0.89,57.44,41.67,15600.2,10925.6,1311.81,313.78,317
301,imperor3.red,4260.00,18.66,22824.00,4260.00,18.66,4542.95,15.31,187,3722,3699,7608,2.46,48.62,48.92,7209.1,6975.4,2230.85,409.52,317
302,shrapnel.red,4164.00,18.24,22824.00,4164.00,18.24,4508.54,15.20,127,3698,3783,7608,1.67,49.72,48.61,30424.2,14803.3,880.36,489.94,317
303,flea.red,4067.00,17.82,22824.00,4067.00,17.82,4239.02,14.29,128,3797,3683,7608,1.68,48.41,49.91,6336.9,3473.6,978.40,2069.61,317
304,agonykiller.red,4059.00,17.78,22824.00,4059.00,17.78,4185.07,14.10,99,3747,3762,7608,1.30,49.45,49.25,9259.4,2523.8,1041.45,1500.32,317
305,ivy.red,3710.00,16.25,22824.00,3710.00,16.25,4219.42,14.22,300,4498,2810,7608,3.94,36.93,59.12,9648.8,12093.6,2084.03,437.39,317
306,b2.red,3499.00,15.33,22824.00,3499.00,15.33,3700.79,12.47,94,4297,3217,7608,1.24,42.28,56.48,6212.5,5760.1,1320.50,164.31,317
307,binarytree2.red,3230.00,14.15,22824.00,3230.00,14.15,3788.38,12.77,219,4816,2573,7608,2.88,33.82,63.30,11503.9,16180.3,2629.62,229.17,317
308,extra.red,2417.00,10.59,22824.00,2417.00,10.59,2517.11,8.48,62,5315,2231,7608,0.81,29.32,69.86,11543.7,1970.5,1082.26,17.79,317
309,catcan.red,1867.00,8.18,22824.00,1867.00,8.18,2068.91,6.97,79,5899,1630,7608,1.04,21.42,77.54,11940.0,4794.7,1305.55,141.92,317
310,crazy.red,1515.00,6.64,22824.00,1515.00,6.64,1536.19,5.18,6,6105,1497,7608,0.08,19.68,80.24,14588.2,549.5,229.63,37.31,317
311,alien22.red,1460.00,6.40,22824.00,1460.00,6.40,1460.18,4.92,0,6148,1460,7608,0.00,19.19,80.81,0.0,6.0,1.05,2.00,317
312,coke.red,1458.00,6.39,22824.00,1458.00,6.39,1460.48,4.92,0,6150,1458,7608,0.00,19.16,80.84,0.0,80.8,8.82,5.18,317
313,keystonet21.red,1451.00,6.36,22824.00,1451.00,6.36,1453.58,4.90,1,6159,1448,7608,0.01,19.03,80.95,4156.0,56.0,22.80,17.92,317
314,heapimp.red,1446.00,6.34,22824.00,1446.00,6.34,1447.05,4.88,0,6162,1446,7608,0.00,19.01,80.99,0.0,34.0,3.95,5.03,317
315,roller.red,1443.00,6.32,22824.00,1443.00,6.32,1443.54,4.87,0,6165,1443,7608,0.00,18.97,81.03,0.0,17.6,2.10,5.00,317
316,griffin.red,1425.00,6.24,22824.00,1425.00,6.24,1425.50,4.80,0,6183,1425,7608,0.00,18.73,81.27,0.0,16.2,1.65,7.00,317
317,trynumberfive.red,1417.00,6.21,22824.00,1417.00,6.21,1417.28,4.78,0,6191,1417,7608,0.00,18.63,81.37,0.0,9.1,0.67,5.00,317
